Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.67161504763206E-05,-9.96929707160518E-18,0.224538707556981,0,0,0,26.692910205457,1.71189734613994,-2.40913169363712E-16,-6.33991383606451E-17,1.27431160321352,-3.16232789743585E-16,2.92969870819416,0,0,0,0,0,0,package://surg3/meshes/base_link.STL,0.992156862745098,0.996078431372549,1,1,0,0,0,0,0,0,package://surg3/meshes/base_link.STL,,6621 (1)-1,car_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,-5.55111512312578E-17,0,-0.01905,0,0,0,0.94013226235365,0.00198270843988776,1.03019182797916E-19,-3.08867976331008E-20,0.00198270843988776,8.10409449351113E-21,0.00373796598088299,0,0,0,0,0,0,package://surg3/meshes/front_left.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://surg3/meshes/front_left.STL,,MowerWheel F.ipt-2,frontleft,front_axis,frontleftwheel,continuous,0.350600000000001,0.294399999999999,0.0827000000000001,1.5707963267949,0,1.57079632679489,base_link,0,0,1,,,,,,,,,,,,
front_right,2.77555756156289E-16,0,0.0190500000000001,0,0,0,0.940132262353651,0.00198270843988776,4.35918888859529E-20,-1.99449680904772E-20,0.00198270843988776,4.76045832029339E-22,0.003737965980883,0,0,0,0,0,0,package://surg3/meshes/front_right.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://surg3/meshes/front_right.STL,,MowerWheel F.ipt-3,frontright,front_axis,frontrightjoint,continuous,-0.350599999999999,0.294400000000001,0.0827000000000001,1.5707963267949,0,1.57079632679489,base_link,0,0,1,,,,,,,,,,,,
rear_left,0,0,-0.0190500000000001,0,0,0,0.94013226235365,0.00198270843988776,-1.624081534321E-19,-6.08288500262666E-20,0.00198270843988776,-1.18373963231426E-20,0.00373796598088299,0,0,0,0,0,0,package://surg3/meshes/rear_left.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://surg3/meshes/rear_left.STL,,MowerWheel F.ipt-1,rearleft,rear_axis,rearleftwheel,continuous,0.350599999999999,-0.294400000000001,0.0827,1.5707963267949,0,1.57079632679489,base_link,0,0,1,,,,,,,,,,,,
rear_right,0,2.77555756156289E-17,0.01905,0,0,0,0.940132262353651,0.00198270843988776,-1.08818392973721E-39,2.72206371498453E-20,0.00198270843988776,-2.47506712013436E-35,0.003737965980883,0,0,0,0,0,0,package://surg3/meshes/rear_right.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://surg3/meshes/rear_right.STL,,MowerWheel F.ipt-4,rearright,rear_axis,rightwheeljoint,continuous,-0.350600000000001,-0.294399999999999,0.0827,1.5707963267949,0,1.57079632679489,base_link,0,0,1,,,,,,,,,,,,
link1,-7.42810143639123E-08,-0.00978879657713761,0.0750910905801014,0,0,0,5.07582206243551,0.0279246936838049,-4.73074519396789E-09,2.57852028125316E-08,0.0230662204658974,-0.000715650397578893,0.0271604411837049,0,0,0,0,0,0,package://surg3/meshes/link1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://surg3/meshes/link1.STL,,Part1-1,Base,baseofman1,basem,fixed,0,0,0.255,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link2,-0.00011281,0.0068507,0.067233,0,0,0,4.1882,0.02144,-0.00018712,6.9176E-05,0.032759,-0.0041883,0.030615,0,0,0,0,0,0,package://surg3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://surg3/meshes/link2.STL,,Part2-1,base_sys,axis1,link_2,revolute,0,0,0.175,0,0,0,link1,0,0,-1,200,3,0,3.142,,,,,,,,
link3,0.018802,-0.13534,-3.7488E-11,0,0,0,5.2998,0.087203,0.0093725,1.3582E-10,0.02104,2.6985E-11,0.077075,0,0,0,0,0,0,package://surg3/meshes/link3.STL,1,0,0,1,0,0,0,0,0,0,package://surg3/meshes/link3.STL,,Part3-1,link2,Axis2,link_3,revolute,-0.00118191583802444,0.0715077705397586,0.153769579636443,-1.5707963267949,0,-1.55426933655184,link2,0,0,-1,200,3,-1.57,1.57,,,,,,,,
link4,0.0024388,0.0002859,-0.0555,0,0,0,2.0805,0.0047842,-0.00077742,6.9796E-19,0.0060143,3.0827E-19,0.0065924,0,0,0,0,0,0,package://surg3/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://surg3/meshes/link4.STL,,Part4-1,link3,Axis3,link_4,revolute,0.0362174071193058,-0.388931402299904,0.0555,0,0,3.14159265358979,link3,0,0,-1,200,3,0,3.142,,,,,,,,
link5,-1.7734E-07,-2.3788E-06,0.12318,0,0,0,2.2744,0.016048,3.1141E-05,3.387E-08,0.016464,4.5427E-07,0.0039447,0,0,0,0,0,0,package://surg3/meshes/link5.STL,1,0,0,1,0,0,0,0,0,0,package://surg3/meshes/link5.STL,,Part5-1,link_4,Axis4,link_5,revolute,0.0865584905966275,0.00839949040900234,-0.0555000000000001,-0.609567887315726,1.57079631189374,-0.734408128398046,link4,0,0,1,200,3,0,3.142,,,,,,,,
link6,0.0044365,-0.024333,2.0817E-17,0,0,0,0.32079,0.00039297,3.4564E-05,6.6069E-20,0.00020969,-2.465E-21,0.00034491,0,0,0,0,0,0,package://surg3/meshes/link6.STL,1,0,0,1,0,0,0,0,0,0,package://surg3/meshes/link6.STL,,Part6-1,link5,Axis5,link_6,revolute,0.000351610247741422,0.00471609605795009,0.31645149221301,-1.57079632679489,1.45486631386844,-1.64521400874154,link5,0,0,-1,200,2,0,3.142,,,,,,,,
link7,1.7361E-10,2.1498E-10,0.016528,0,0,0,0.21549,0.00026778,-3.6347E-05,-2.8754E-13,0.0003499,-5.1247E-13,0.0005275,0,0,0,0,0,0,package://surg3/meshes/link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg3/meshes/link7.STL,,Link_5-1;Part7-1,lin_6,Axis6,link_7,revolute,0.0163331090754775,-0.0895822161514052,0,-1.5707963267949,1.17924892649585,-2.96124825710572,link6,0,0,-1,200,3,0,3.142,,,,,,,,
grip1,-0.020933,-0.021676,-0.025435,0,0,0,0.11653,7.0551E-05,2.9858E-06,-5.1003E-06,5.7216E-05,2.3868E-05,6.7543E-05,0,0,0,0,0,0,package://surg3/meshes/grip1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg3/meshes/grip1.STL,,link_7-3,Gripper1,Axis7,grip_1,prismatic,-0.0221949059505385,0.0183230993801066,0.076196530879624,-1.09815881528803,-0.188016054643132,1.83781443689534,link7,-0.0934551409169919,0.437339841126079,0.894427190999917,100,3,0,0.03,,,,,,,,
grip2,0.021231,-0.021384,-0.025435,0,0,0,0.11653,7.0631E-05,-2.8001E-06,4.7694E-06,5.7136E-05,2.3936E-05,6.7543E-05,0,0,0,0,0,0,package://surg3/meshes/grip2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg3/meshes/grip2.STL,,link_7-1,gripper2,Axis7,grip_2,prismatic,0.00447390105476647,0.0284312157739759,0.0761965308796241,-1.09931642219313,0.175685860893411,-1.11962753486987,link7,-0.0873917410068469,-0.43859170489624,-0.894427190999917,100,3,-0.03,0,,,,,,,,
